step,model,model_type,pretrained_model_name,sweep,value,max_length,batch_size,eval_batch_size,epochs,patience,learning_rate,dropout,intent_loss_weight,slot_loss_weight,warmup_ratio,weight_decay,runs,seeds,dev_slot_f1_mean,dev_slot_f1_std,dev_intent_accuracy_mean,dev_intent_accuracy_std,test_slot_f1_mean,test_slot_f1_std,test_intent_accuracy_mean,test_intent_accuracy_std,best_checkpoint_path
1,gpt2,gpt2,gpt2,learning_rate,3e-05,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9667,0.0000,0.9940,0.0000,0.9263,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_3em05/seed_42/best_gpt2_gpt2.pt
2,gpt2,gpt2,gpt2,batch_size,16,128,16,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9682,0.0000,0.9940,0.0000,0.9243,0.0000,0.9720,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/batch_size_16/seed_42/best_gpt2_gpt2.pt
1,gpt2,gpt2,gpt2,learning_rate,3e-05,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9667,0.0000,0.9940,0.0000,0.9263,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_3em05/seed_42/best_gpt2_gpt2.pt
1,gpt2,gpt2,gpt2,learning_rate,3e-05,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9667,0.0000,0.9940,0.0000,0.9263,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/learning_rate_3em05/seed_42/best_gpt2_gpt2.pt
2,gpt2,gpt2,gpt2,dropout,0.1,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9667,0.0000,0.9940,0.0000,0.9263,0.0000,0.9742,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/dropout_0p1/seed_42/best_gpt2_gpt2.pt
3,gpt2,gpt2,gpt2,weight_decay,0.0,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.0,1,42,0.9673,0.0000,0.9940,0.0000,0.9273,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/weight_decay_0p0/seed_42/best_gpt2_gpt2.pt
4,gpt2,gpt2,gpt2,warmup_ratio,0.1,128,64,128,100,3,3e-05,0.1,1.0,1.0,0.1,0.0,1,42,0.9673,0.0000,0.9940,0.0000,0.9273,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/warmup_ratio_0p1/seed_42/best_gpt2_gpt2.pt
5,gpt2,gpt2,gpt2,slot_loss_weight,0.75,128,64,128,100,3,3e-05,0.1,1.0,0.75,0.1,0.0,1,42,0.9679,0.0000,0.9940,0.0000,0.9302,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/slot_loss_weight_0p75/seed_42/best_gpt2_gpt2.pt
6,gpt2,gpt2,gpt2,max_length,64,64,64,128,100,3,3e-05,0.1,1.0,0.75,0.1,0.0,1,42,0.9679,0.0000,0.9940,0.0000,0.9302,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2/max_length_64/seed_42/best_gpt2_gpt2.pt
1,gpt2-medium,gpt2,gpt2-medium,learning_rate,5e-05,128,64,128,100,3,5e-05,0.1,1.0,1.0,0.1,0.01,1,42,0.9723,0.0000,0.9920,0.0000,0.9251,0.0000,0.9731,0.0000,/home/matteo.morellini/NLU-26/NLU/part_B/bin/sequential_checkpoints/gpt2-medium/learning_rate_5em05/seed_42/best_gpt2_gpt2-medium.pt
